Stack,Input,Rule
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS' EXPRESION' FACTOR',IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR ENTERO Y IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINOSI PARENTESIS_ABRIR IDENTIFICADOR IGUAL_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR POR ENTERO AT LLAVE_CERRAR SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR ROMPER AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS' EXPRESION',COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR ENTERO Y IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINOSI PARENTESIS_ABRIR IDENTIFICADOR IGUAL_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR POR ENTERO AT LLAVE_CERRAR SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR ROMPER AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,FACTOR' -> ''
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS',COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR ENTERO Y IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINOSI PARENTESIS_ABRIR IDENTIFICADOR IGUAL_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR POR ENTERO AT LLAVE_CERRAR SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR ROMPER AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,EXPRESION' -> ''
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR,COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR ENTERO Y IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINOSI PARENTESIS_ABRIR IDENTIFICADOR IGUAL_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR POR ENTERO AT LLAVE_CERRAR SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR ROMPER AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,PARAMETROS' -> COMA EXPRESION PARAMETROS'
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS' EXPRESION,COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR ENTERO Y IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINOSI PARENTESIS_ABRIR IDENTIFICADOR IGUAL_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR POR ENTERO AT LLAVE_CERRAR SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR ROMPER AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS',IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR ENTERO Y IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINOSI PARENTESIS_ABRIR IDENTIFICADOR IGUAL_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR POR ENTERO AT LLAVE_CERRAR SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR ROMPER AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,EXPRESION -> FACTOR EXPRESION'
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS' EXPRESION',IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR ENTERO Y IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINOSI PARENTESIS_ABRIR IDENTIFICADOR IGUAL_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR POR ENTERO AT LLAVE_CERRAR SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR ROMPER AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,FACTOR -> IDENTIFICADOR FACTOR'
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS' EXPRESION' FACTOR',IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR ENTERO Y IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINOSI PARENTESIS_ABRIR IDENTIFICADOR IGUAL_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR POR ENTERO AT LLAVE_CERRAR SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR ROMPER AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS' EXPRESION',PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR ENTERO Y IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINOSI PARENTESIS_ABRIR IDENTIFICADOR IGUAL_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR POR ENTERO AT LLAVE_CERRAR SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR ROMPER AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,FACTOR' -> ''
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS',PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR ENTERO Y IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINOSI PARENTESIS_ABRIR IDENTIFICADOR IGUAL_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR POR ENTERO AT LLAVE_CERRAR SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR ROMPER AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,EXPRESION' -> ''
