Stack,Input,Rule
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS PARENTESIS_ABRIR IDENTIFICADOR,IDENTIFICADOR:hola PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS PARENTESIS_ABRIR,PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS,PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR,PARENTESIS_CERRAR:) LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,PARAMETROS -> ''
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR,LLAVE_ABRIR:{ IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES,IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES INSTRUCCION,IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,INSTRUCCIONES -> INSTRUCCION INSTRUCCIONES
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT ASIGNACION,IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,INSTRUCCION -> ASIGNACION AT
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT INVFUNC IDENTIFICADOR,IDENTIFICADOR:h IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,ASIGNACION -> IDENTIFICADOR INVFUNC
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT INVFUNC,IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT EXPRESION IGUAL,IGUAL:= CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,INVFUNC -> IGUAL EXPRESION
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT EXPRESION,CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT EXPRESION' FACTOR,CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,EXPRESION -> FACTOR EXPRESION'
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT EXPRESION' CADENA,CADENA:hola AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,FACTOR -> CADENA
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT EXPRESION',AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT,AT:@ LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,EXPRESION' -> ''
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES,LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR,LLAVE_CERRAR:} DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,INSTRUCCIONES -> ''
$ INSTRUCCIONES,DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES INSTRUCCION,DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,INSTRUCCIONES -> INSTRUCCION INSTRUCCIONES
$ INSTRUCCIONES FUNCION,DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,INSTRUCCION -> FUNCION
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS PARENTESIS_ABRIR IDENTIFICADOR DEF,DEF:def IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,FUNCION -> DEF IDENTIFICADOR PARENTESIS_ABRIR PARAMETROS PARENTESIS_CERRAR LLAVE_ABRIR INSTRUCCIONES LLAVE_CERRAR
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS PARENTESIS_ABRIR IDENTIFICADOR,IDENTIFICADOR:adios PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS PARENTESIS_ABRIR,PARENTESIS_ABRIR:( PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS,PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR,PARENTESIS_CERRAR:) LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,PARAMETROS -> ''
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR,LLAVE_ABRIR:{ LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES,LLAVE_CERRAR:} $:$,
$ INSTRUCCIONES LLAVE_CERRAR,LLAVE_CERRAR:} $:$,INSTRUCCIONES -> ''
$ INSTRUCCIONES,$:$,
$,$:$,INSTRUCCIONES -> ''
,,Accept
